,Name,Model,Modalities,AUC,AUPR,F1-score,Sensitivity,Specificity,Kappa
53,Domain expert*KNeighborsClassifier,KNeighborsClassifier,Domain expert,0.6812966150315548,0.32704144960278836,0.5087719298245614,0.9047619047619048,0.3493975903614458,0.13204172876304032
54,Domain expert*Voting + KNeighborsClassifier,Voting + KNeighborsClassifier,Domain expert,0.7475616752725186,0.4226109665319311,0.43636363636363634,0.8571428571428571,0.2891566265060241,0.07329692440356428
55,Domain expert*Orthogonal small + KNeighborsClassifier,Orthogonal small + KNeighborsClassifier,Domain expert,0.7607573149741825,0.3874337891530263,0.5833333333333334,0.9047619047619048,0.42168674698795183,0.13959085439229835
56,All + Clusters*KNeighborsClassifier,KNeighborsClassifier,All + Clusters,0.710556511761331,0.3501053877458372,0.5217391304347826,0.9047619047619048,0.3614457831325301,0.13959085439229835
57,All + Clusters*Voting + KNeighborsClassifier,Voting + KNeighborsClassifier,All + Clusters,0.7733792312105565,0.48279610908549575,0.4299065420560748,0.9523809523809523,0.27710843373493976,0.11198208286674138
58,All + Clusters*Orthogonal small + KNeighborsClassifier,Orthogonal small + KNeighborsClassifier,All + Clusters,0.7633390705679862,0.44616323082239756,0.5714285714285714,0.9047619047619048,0.40963855421686746,0.15511955855303494
59,All + Text*KNeighborsClassifier,KNeighborsClassifier,All + Text,0.7512908777969018,0.39456700414689727,0.5344827586206897,0.9047619047619048,0.37349397590361444,0.14728211357424847
60,All + Text*Voting + KNeighborsClassifier,Voting + KNeighborsClassifier,All + Text,0.7613310384394721,0.4640647433192081,0.4545454545454546,0.9047619047619048,0.30120481927710846,0.10319057200344939
61,All + Text*Orthogonal small + KNeighborsClassifier,Orthogonal small + KNeighborsClassifier,All + Text,0.7573149741824441,0.4391473358760203,0.5901639344262295,0.8571428571428571,0.43373493975903615,0.15487571701720837
62,Clusters*KNeighborsClassifier,KNeighborsClassifier,Clusters,0.7346528973034997,0.36353267675229295,0.6,0.9523809523809523,0.43373493975903615,0.21236983275481225
63,Text*KNeighborsClassifier,KNeighborsClassifier,Text,0.7168674698795181,0.3347522686372861,0.5299145299145298,0.8571428571428571,0.37349397590361444,0.1232372777437154
64,Greedy selection*MultinomialNB,MultinomialNB,Greedy selection,0.8135398737808376,0.502776297685665,0.49557522123893805,0.9047619047619048,0.3373493975903614,0.11735440444834655
65,All*MultinomialNB,MultinomialNB,All,0.8204245553643144,0.5516816062162186,0.6290322580645161,0.9047619047619048,0.46987951807228917,0.2144499178981938
66,All*Voting + MultinomialNB,Voting + MultinomialNB,All,0.8577165806081468,0.6799717139472328,0.5132743362831859,0.9523809523809523,0.3493975903614458,0.1403712296983759
67,All*Orthogonal small + MultinomialNB,Orthogonal small + MultinomialNB,All,0.8422260470453242,0.6337426943759312,0.6718750000000001,0.9047619047619048,0.5180722891566265,0.25231085244779183
68,Domain expert*MultinomialNB,MultinomialNB,Domain expert,0.8336201950659782,0.5384597252673335,0.5950413223140496,0.9047619047619048,0.43373493975903615,0.1712499999999999
69,Domain expert*Voting + MultinomialNB,Voting + MultinomialNB,Domain expert,0.8594377510040161,0.7090296654492471,0.6875000000000001,0.9523809523809523,0.5301204819277109,0.26785115655380487
70,Domain expert*Orthogonal small + MultinomialNB,Orthogonal small + MultinomialNB,Domain expert,0.8410786001147447,0.5631465845570713,0.6821705426356589,0.9047619047619048,0.5301204819277109,0.25231085244779183
71,All + Clusters*MultinomialNB,MultinomialNB,All + Clusters,0.8192771084337349,0.5413199263375648,0.7022900763358779,0.9047619047619048,0.5542168674698795,0.2724728926197971
72,All + Clusters*Voting + MultinomialNB,Voting + MultinomialNB,All + Clusters,0.8646012621916236,0.6893131398355303,0.5882352941176471,0.9523809523809523,0.42168674698795183,0.17886425751594293
73,All + Clusters*Orthogonal small + MultinomialNB,Orthogonal small + MultinomialNB,All + Clusters,0.8399311531841652,0.6073713492307866,0.7259259259259259,0.8571428571428571,0.5903614457831325,0.28846153846153844
74,All + Text*MultinomialNB,MultinomialNB,All + Text,0.7963281698221457,0.5334148303816343,0.7299270072992702,0.8095238095238095,0.6024096385542169,0.2607557052001498
75,All + Text*Voting + MultinomialNB,Voting + MultinomialNB,All + Text,0.8623063683304648,0.683373745034275,0.6,0.9523809523809523,0.43373493975903615,0.17886425751594293
76,All + Text*Orthogonal small + MultinomialNB,Orthogonal small + MultinomialNB,All + Text,0.8336201950659781,0.6055437825367167,0.753623188405797,0.8571428571428571,0.6265060240963856,0.29966329966329974
77,Clusters*MultinomialNB,MultinomialNB,Clusters,0.865748709122203,0.6695900448527666,0.7972027972027973,0.8571428571428571,0.6867469879518072,0.3859934853420195
78,Text*MultinomialNB,MultinomialNB,Text,0.8364888123924269,0.5690160058959544,0.8163265306122448,0.8095238095238095,0.7228915662650602,0.39794168096054894
79,All*Voting orthogonal large,Voting orthogonal large,All,0.8674698795180723,0.6734876069336935,0.7555555555555555,0.9523809523809523,0.6144578313253012,0.3535648994515539
80,Domain expert*Voting orthogonal large,Voting orthogonal large,Domain expert,0.8732071141709695,0.6808250458605261,0.7826086956521738,0.9523809523809523,0.6506024096385542,0.37747848858959976
