,Name,Model,Modalities,AUC,AUPR,F1-score,Sensitivity,Specificity,Kappa
45,All + Text*Orthogonal small + LogisticRegression,Orthogonal small + LogisticRegression,All + Text,0.8450946643717728,0.7057386970635762,0.8219178082191781,0.8571428571428571,0.7228915662650602,0.4135338345864661
46,Clusters*LogisticRegression,LogisticRegression,Clusters,0.8588640275387264,0.6853050979497077,0.8219178082191781,0.8571428571428571,0.7228915662650602,0.4135338345864661
47,Text*LogisticRegression,LogisticRegression,Text,0.8313253012048193,0.6730112910442512,0.8027210884353742,0.7619047619047619,0.7108433734939759,0.3533447684391081
48,Lasso*KNeighborsClassifier,KNeighborsClassifier,Lasso,0.5,0.20192307692307693,0.0,1.0,0.0,0.0
49,Greedy selection*KNeighborsClassifier,KNeighborsClassifier,Greedy selection,0.7096959265633964,0.3668962716358715,0.5833333333333334,0.9047619047619048,0.42168674698795183,0.17955190911959606
50,All*KNeighborsClassifier,KNeighborsClassifier,All,0.6996557659208261,0.331504824151883,0.5546218487394958,0.8571428571428571,0.39759036144578314,0.13874999999999993
51,All*Voting + KNeighborsClassifier,Voting + KNeighborsClassifier,All,0.751004016064257,0.4670807988249467,0.27083333333333337,1.0,0.1566265060240964,0.05811320754716964
52,All*Orthogonal small + KNeighborsClassifier,Orthogonal small + KNeighborsClassifier,All,0.7725186460126219,0.4667107768823621,0.5714285714285714,0.9047619047619048,0.40963855421686746,0.15511955855303494
53,Domain expert*KNeighborsClassifier,KNeighborsClassifier,Domain expert,0.7076878944348823,0.3418103648078617,0.5217391304347826,0.9047619047619048,0.3614457831325301,0.13959085439229835
54,Domain expert*Voting + KNeighborsClassifier,Voting + KNeighborsClassifier,Domain expert,0.7292025243832474,0.3920435768704127,0.4403669724770642,0.9047619047619048,0.2891566265060241,0.09629629629629632
55,Domain expert*Orthogonal small + KNeighborsClassifier,Orthogonal small + KNeighborsClassifier,Domain expert,0.7613310384394721,0.42289232267441584,0.5641025641025641,0.9523809523809523,0.39759036144578314,0.1782265144863916
56,All + Clusters*KNeighborsClassifier,KNeighborsClassifier,All + Clusters,0.7441193344807803,0.3752660038374324,0.547008547008547,0.9047619047619048,0.3855421686746988,0.15511955855303494
57,All + Clusters*Voting + KNeighborsClassifier,Voting + KNeighborsClassifier,All + Clusters,0.7667814113597246,0.45703425315609003,0.288659793814433,1.0,0.1686746987951807,0.07573415765069558
58,All + Clusters*Orthogonal small + KNeighborsClassifier,Orthogonal small + KNeighborsClassifier,All + Clusters,0.7828456683878371,0.4650940101693725,0.559322033898305,0.9047619047619048,0.39759036144578314,0.15511955855303494
59,All + Text*KNeighborsClassifier,KNeighborsClassifier,All + Text,0.738668961560528,0.37972672503170096,0.547008547008547,0.9047619047619048,0.3855421686746988,0.15511955855303494
60,All + Text*Voting + KNeighborsClassifier,Voting + KNeighborsClassifier,All + Text,0.7538726333907056,0.45025215442066235,0.30303030303030304,0.9523809523809523,0.18072289156626506,0.060732984293193626
